zip,state,value,latitude,longitude,county
18925,pennsylvania,450,40.282168,-75.06283,bucks
7832,new jersey,0,40.92976,-75.06193,warren
8322,new jersey,0,39.618222,-75.0618,gloucester
13357,new york,0,42.992323,-75.0615,herkimer
19006,pennsylvania,5518,40.129509,-75.06115,bucks
19930,delaware,1000,38.536354,-75.06062,sussex
13348,new york,0,42.708284,-75.0588,otsego
8110,new jersey,250,39.966812,-75.05681,camden
8012,new jersey,500,39.784614,-75.05678,gloucester
8328,new jersey,0,39.572449,-75.0543,gloucester
8007,new jersey,0,39.868013,-75.05424,camden
19944,delaware,0,38.459314,-75.05356,sussex
13846,new york,0,42.344248,-75.05323,delaware
13820,new york,80,42.469761,-75.05192,delaware
8109,new jersey,1525,39.949979,-75.05024,camden
19135,pennsylvania,0,40.023611,-75.04966,philadelphia
19152,pennsylvania,250,40.059611,-75.04837,philadelphia
8808,new jersey,0,40.737213,-75.046926,warren
18457,pennsylvania,0,41.471736,-75.04617,pike
7823,new jersey,0,40.82383,-75.04585,warren
18913,pennsylvania,1850,40.376499,-75.04129,bucks
19115,pennsylvania,7900,40.09261,-75.04118,philadelphia
8033,new jersey,16600,39.895213,-75.04019,camden
8332,new jersey,600,39.379382,-75.03923,cumberland
12736,new york,0,41.848244,-75.03878,sullivan
8049,new jersey,0,39.85478,-75.03671,camden
8825,new jersey,0,40.509998,-75.03239,hunterdon
8802,new jersey,0,40.661172,-75.0321,hunterdon
8045,new jersey,333,39.866513,-75.03197,camden
12745,new york,0,41.762944,-75.030592,sullivan
12723,new york,0,41.769427,-75.02808,sullivan
19136,pennsylvania,0,40.041111,-75.02644,philadelphia
8065,new jersey,2775,40.00278,-75.02626,burlington
8083,new jersey,25,39.842613,-75.02496,camden
18371,pennsylvania,0,41.340936,-75.024055,pike
8002,new jersey,2252,39.932279,-75.02266,camden
8360,new jersey,6500,39.492265,-75.01887,gloucester
19116,pennsylvania,48967,40.117413,-75.0154,philadelphia
18980,pennsylvania,0,40.28083,-75.01422,bucks
8084,new jersey,225,39.829014,-75.01371,camden
18435,pennsylvania,0,41.497511,-75.01149,pike
8344,new jersey,0,39.562763,-75.00955,gloucester
18966,pennsylvania,7200,40.184745,-75.00831,bucks
13755,new york,0,42.086268,-75.00691,delaware
18425,pennsylvania,0,41.419116,-75.00683,pike
18954,pennsylvania,1450,40.214652,-75.00379,bucks
19114,pennsylvania,1250,40.064257,-75.00155,philadelphia
8034,new jersey,10736,39.908613,-74.99951,camden
8077,new jersey,2450,39.997379,-74.99805,burlington
18324,pennsylvania,225,41.141582,-74.99786,pike
8329,new jersey,0,39.285464,-74.99687,cumberland
7882,new jersey,0,40.753753,-74.99617,warren
13690,new york,0,44.161058,-74.99617,st. lawrence
8021,new jersey,1091,39.810485,-74.99574,camden
8052,new jersey,1500,39.952212,-74.99464,burlington
12764,new york,0,41.588604,-74.99385,sullivan
18938,pennsylvania,19763,40.354735,-74.99319,bucks
13782,new york,0,42.18942,-74.99219,delaware
13439,new york,50,42.852372,-74.99121,otsego
12752,new york,0,41.677243,-74.99109,sullivan
8081,new jersey,1453,39.741385,-74.99035,camden
8324,new jersey,0,39.218484,-74.99001,cumberland
13668,new york,0,44.752355,-74.98906,st. lawrence
13350,new york,0,43.038149,-74.9846,herkimer
19053,pennsylvania,1060,40.148759,-74.98228,bucks
13337,new york,0,42.743186,-74.98164,otsego
13416,new york,0,43.178528,-74.98117,herkimer
12766,new york,0,41.815316,-74.97995,sullivan
13678,new york,0,44.828685,-74.979811,st. lawrence
8348,new jersey,0,39.314084,-74.97889,cumberland
8327,new jersey,0,39.254836,-74.97767,cumberland
19154,pennsylvania,4600,40.09146,-74.97719,philadelphia
12726,new york,0,41.694153,-74.97593,sullivan
8316,new jersey,0,39.274714,-74.97546,cumberland
13324,new york,0,43.317064,-74.97449,herkimer
13647,new york,0,44.608735,-74.973218,st. lawrence
13807,new york,0,42.606209,-74.97261,otsego
8003,new jersey,37430,39.879713,-74.9719,camden
8361,new jersey,0,39.464582,-74.96994,cumberland
8026,new jersey,0,39.833847,-74.96899,camden
8827,new jersey,0,40.677404,-74.96875,warren
